studio,domestic_gross,foreign_gross,total_gross
Lorb.,11700.0,545000.0,556700.0
TFC,109000.0,393000.0,502000.0
IFC,144000.0,335000.0,479000.0
Pala.,115000.0,359000.0,474000.0
Magn.,453000.0,4500.0,457500.0
IFC,392000.0,0.0,392000.0
Kino,110000.0,274000.0,384000.0
Par.,366000.0,0.0,366000.0
Mira.,278000.0,68700.0,346700.0
Magn.,20900.0,323000.0,343900.0
Scre.,225000.0,101000.0,326000.0
Strand,21100.0,300000.0,321100.0
Gold.,159000.0,158000.0,317000.0
SPC,191000.0,121000.0,312000.0
Strand,208000.0,97100.0,305100.0
MBox,275000.0,28100.0,303100.0
Imag.,39000.0,255000.0,294000.0
Eros,286000.0,7100.0,293100.0
Zeit.,288000.0,0.0,288000.0
NAV,26300.0,250000.0,276300.0
Arth.,188000.0,88700.0,276700.0
CLS,199000.0,70800.0,269800.0
IFC,181000.0,70700.0,251700.0
Mont.,128000.0,106000.0,234000.0
Olive,2200.0,229000.0,231200.0
CGld,207000.0,0.0,207000.0
Free,17400.0,182000.0,199400.0
UTV,169000.0,24300.0,193300.0
Magn.,189000.0,3500.0,192500.0
Magn.,177000.0,0.0,177000.0
IFC,800.0,167000.0,167800.0
CGld,33200.0,131000.0,164200.0
Strand,10800.0,150000.0,160800.0
Magn.,133000.0,26400.0,159400.0
Magn.,102000.0,41500.0,143500.0
FOAK,107000.0,17300.0,124300.0
Sony,,119000.0,
Magn.,101000.0,16400.0,117400.0
IVP,103000.0,9100.0,112100.0
Yash,43800.0,60700.0,104500.0
Scre.,,99600.0,
Osci.,81700.0,15300.0,97000.0
BV,80700.0,4200.0,84900.0
ICir,73200.0,6400.0,79600.0
Yash,,64400.0,
IFC,5000.0,57500.0,62500.0
FM,61600.0,0.0,61600.0
First,2000.0,53600.0,55600.0
IFC,4100.0,51000.0,55100.0
Vita.,52600.0,0.0,52600.0
Magn.,36100.0,16200.0,52300.0
WOW,30800.0,18600.0,49400.0
IFC,2600.0,44900.0,47500.0
FM,10000.0,31300.0,41300.0
Mont.,37200.0,3100.0,40300.0
Strand,33500.0,5200.0,38700.0
IFC,21800.0,11500.0,33300.0
Truly,32200.0,0.0,32200.0
Kino,18000.0,5400.0,23400.0
Strand,12000.0,10400.0,22400.0
Osci.,7400.0,10500.0,17900.0
Strand,11400.0,0.0,11400.0
Abr.,11400.0,0.0,11400.0
Indic.,10800.0,0.0,10800.0
Lorb.,4400.0,0.0,4400.0
Relbig.,,3800.0,
WB,381000000.0,960500000.0,1341500000.0
P/DW,352400000.0,771400000.0,1123800000.0
BV,241100000.0,804600000.0,1045700000.0
Sum.,281300000.0,430900000.0,712200000.0
Par.,209400000.0,485300000.0,694700000.0
P/DW,165200000.0,500400000.0,665600000.0
Uni.,209800000.0,416300000.0,626100000.0
WB,254500000.0,332300000.0,586800000.0
Sony,142600000.0,421100000.0,563700000.0
BV,191500000.0,370700000.0,562200000.0
P/DW,149300000.0,405700000.0,555000000.0
WB,186800000.0,358600000.0,545400000.0
Fox,143600000.0,341000000.0,484600000.0
Fox,176800000.0,305000000.0,481800000.0
Par.,181000000.0,268300000.0,449300000.0
Par.,77600000.0,296400000.0,374000000.0
Par.,176700000.0,193900000.0,370600000.0
Fox,146400000.0,207200000.0,353600000.0
Fox,133100000.0,209600000.0,342700000.0
BV,85500000.0,213800000.0,299300000.0
Uni.,169100000.0,119300000.0,288400000.0
Par.,127000000.0,133100000.0,260100000.0
Par.,123500000.0,122200000.0,245700000.0
Sony,102500000.0,130100000.0,232600000.0
Sony,98800000.0,129000000.0,227800000.0
Rela.,83500000.0,143400000.0,226900000.0
WB,116600000.0,103300000.0,219900000.0
BV,169700000.0,46900000.0,216600000.0
Sony,100300000.0,115900000.0,216200000.0
Sony,103000000.0,111900000.0,214900000.0
Sony,83600000.0,128300000.0,211900000.0
WB (NL),117500000.0,92100000.0,209600000.0
Par.,104000000.0,103000000.0,207000000.0
BV,100000000.0,94000000.0,194000000.0
Fox,68200000.0,119100000.0,187300000.0
Par.,73900000.0,111900000.0,185800000.0
BV,94200000.0,91300000.0,185500000.0
Uni.,108100000.0,75900000.0,184000000.0
BV,79900000.0,97700000.0,177600000.0
FoxS,82600000.0,94700000.0,177300000.0
